'gater	g-eI-t-4^
breaker	b-r-eI-k-3^
breakfasts	b-r-E-k-f-I-s-t-s
breaking	b-r-eI-k-I-ng
breakups	b-r-eI-k-^-p-s
briar	b-r-@I-3^
bro	b-r-oU
broccoli	b-r-@-k-4-l-i
bromide	b-r-oU-m-@I-d
broth	b-r-c-th
brow	b-r-@U
brownie	b-r-@U-n-i
brownies	b-r-@U-n-i-z
brows	b-r-@U-z
brushes	b-r-^-sh-I-z
brushing	b-r-^-sh-I-ng
bucharest	b-j-u-k-3^-E-s-t
bucky	b-^-k-i
buddie	b-^-d-i
buddies	b-^-d-i-z
buddy	b-^-d-i
budge	b-^-dzh
buggie	b-^-g-i
buhbye	b-4-b-@I
bulldoze	b-U-l-d-oU-z
bulletin	b-U-l-I-t-^-n
bully	b-U-l-i
bungie	b-^-n-dzh-i
bungy	b-^-ng-i
bunk	b-^-ng-k
bunt	b-^-n-t
buoy	b-u-i
burglars	b-3^-g-l-3^-z
burley	b-4^-l-i
burly	b-4^-l-i
burning	b-3^-n-I-ng
burritos	b-4-r-i-t-oU-z
burry	b-4^-r-i
burs	b-4^-z
bury	b-E-r-i
butcher	b-U-tsh-3^
butthead	b-^-t-dh-E-d
buttock	b-^-t-4-k
buttocks	b-^-t-4-k-s
c	s-i
cactus	k-ae-k-t-I-s
caddie	k-ae-d-i
caddy	k-ae-d-i
caffery	k-ae-f-4^-i
calculate	k-ae-l-k-j-4-l-eI-t
cali	k-ae-l-i
callaway	k-ae-l-4-w-eI
candy	k-ae-n-d-i
carcass	k-@-r-k-4-s
carefully	k-E-r-f-4-l-i
carly	k-@-r-l-i
carry	k-E-r-i
carvy	k-@-r-v-i
cashews	k-ae-sh-u-z
cayenne	k-@I-E-n
certainly	s-3^-t-n-l-i
chappy	tsh-ae-p-I
charlie	tsh-@-r-l-i
chatty	tsh-ae-t-i
checkpiece	tsh-E-k-p-i-s
cheetos	tsh-i-t-oU-z
cherry	tsh-E-r-i
chewy	tsh-u-i
chi	tsh-i
chili	tsh-I-l-i
chirp	tsh-3^-p
chooses	tsh-u-z-I-z
chore	tsh-c-r
chubby	tsh-^-b-i
chuckie	tsh-^-k-i
chucky	tsh-^-k-i
chump	tsh-^-m-p
chunky	tsh-^-ng-k-i
city	s-I-t-i
claude	k-l-c-d
closely	k-l-oU-s-l-i
clothing	k-l-oU-dh-I-ng
clothings	k-l-oU-dh-I-ng-z
cloudy	k-l-@U-d-i
cod	k-@-d
coffe	k-c-f-i
coffee	k-c-f-i
collie	k-@-l-i
comfy	k-^-m-f-i
commands	k-4-m-ae-n-d-z
continues	k-@-n-t-I-n-j-u-z
copy	k-@-p-i
cot	k-@-t
country	k-^-n-t-r-i
county	k-@U-n-i
cowbay	k-@U-b-eI
cowbow	k-@U-b-@U
coy	k-cI
coyboy	k-cI-b-cI
coyote	k-@I-oU-t-i
crackers	k-r-ae-k-4^-z
crackly	k-r-ae-k-l-i
cranberry	k-r-ae-n-b-3^-i
crayon	k-r-ae-n
crazy	k-r-eI-z-i
creepy	k-r-i-p-i
croissant	k-r-4-s-@-n-t
cubby	k-^-b-i
cuddly	k-^-d-l-i
cue	k-j-u
cued	k-j-u-d
cues	k-j-u-z
cure	k-j-U-r
cured	k-j-U-r-d
curry	k-3^-i
curtsy	k-4^-t-s-i
czar	z-@-r
d	d-i
dab	d-ae-b
dadddy	d-ae-d-i
daffy	d-ae-f-i
dainty	d-eI-n-t-i
dairy	d-E-r-i
daisy	d-eI-z-i
dally	d-ae-l-i
damn	d-ae-m
danny	d-ae-n-i
darter	d-@-r-t-4^
daughter's	d-c-t-4^-z
